iter	Passed	Remaining
0	47	47721
1	48	24053
2	48	16170
3	49	12224
4	49	9852
5	49	8274
6	50	7164
7	51	6324
8	51	5662
9	51	5135
10	52	4703
11	52	4346
12	53	4051
13	53	3790
14	54	3563
15	54	3362
16	55	3187
17	55	3032
18	56	2892
19	56	2767
20	56	2652
21	57	2547
22	57	2453
23	58	2368
24	58	2288
25	59	2217
26	59	2148
27	60	2085
28	60	2026
29	60	1970
30	61	1918
31	61	1869
32	62	1824
33	62	1781
34	63	1740
35	63	1702
36	64	1666
37	64	1630
38	64	1597
39	65	1566
40	65	1536
41	66	1507
42	66	1480
43	66	1454
44	67	1429
45	67	1406
46	68	1384
47	68	1362
48	69	1342
49	69	1321
50	70	1302
51	70	1284
52	70	1266
53	71	1249
54	71	1232
55	72	1216
56	72	1201
57	73	1186
58	73	1171
59	73	1157
60	74	1144
61	74	1131
62	75	1118
63	75	1106
64	76	1094
65	76	1083
66	77	1072
67	77	1058
68	77	1047
69	78	1037
70	80	1047
71	80	1038
72	81	1028
73	81	1018
74	81	1009
75	82	1000
76	82	991
77	83	983
78	83	974
79	83	965
80	84	957
81	84	949
82	85	941
83	85	933
84	85	923
85	86	916
86	86	907
87	86	899
88	87	892
89	87	885
90	87	878
91	88	871
92	88	865
93	89	859
94	89	853
95	89	847
96	90	840
97	90	835
98	91	829
99	91	823
100	91	818
101	92	811
102	92	806
103	93	802
104	94	802
105	94	799
106	95	794
107	95	790
108	96	786
109	96	784
110	97	779
111	97	775
112	98	770
113	98	766
114	99	762
115	99	757
116	99	752
117	100	748
118	100	743
119	101	741
120	101	737
121	101	733
122	102	728
123	102	724
124	102	720
125	103	716
126	103	713
127	103	708
128	104	704
129	104	701
130	105	697
131	105	693
132	106	691
133	106	688
134	106	684
135	107	681
136	107	678
137	107	674
138	109	677
139	109	674
140	110	671
141	110	669
142	111	666
143	111	663
144	112	660
145	112	657
146	112	654
147	113	651
148	113	648
149	113	645
150	114	642
151	114	640
152	115	637
153	115	635
154	115	632
155	116	629
156	116	626
157	117	624
158	117	621
159	117	618
160	118	616
161	118	613
162	119	611
163	119	609
164	119	606
165	120	604
166	120	601
167	121	600
168	121	597
169	121	595
170	122	593
171	123	596
172	124	594
173	124	592
174	125	590
175	125	588
176	126	586
177	126	584
178	126	582
179	127	580
180	127	577
181	127	575
182	128	573
183	128	571
184	129	569
185	129	567
186	130	565
187	130	563
188	130	562
189	131	560
190	131	558
191	132	556
192	132	554
193	133	552
194	133	551
195	133	549
196	134	547
197	134	545
198	135	543
199	135	542
200	136	540
201	136	538
202	136	537
203	137	535
204	138	538
205	139	537
206	139	535
207	140	533
208	140	532
209	141	530
210	141	528
211	141	527
212	142	525
213	142	523
214	143	522
215	143	520
216	143	519
217	144	517
218	144	516
219	145	514
220	145	513
221	145	511
222	146	510
223	146	508
224	147	506
225	147	505
226	147	503
227	148	502
228	148	500
229	149	499
230	149	497
231	149	496
232	150	494
233	150	493
234	151	491
235	151	490
236	151	489
237	152	487
238	153	489
239	154	488
240	154	486
241	154	485
242	155	484
243	155	483
244	156	481
245	156	480
246	157	479
247	157	478
248	158	476
